Simulation Results for Regression Intercept Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,a,,,,,,,,,a,,,,,,,,,a,,,,,,,,
n = 10,STANDARD MODEL,,,,,,,,n = 10,CONTAMINATIONS MODEL,,,,,,,,n = 10,OUTLIERS MODEL,,,,,,,,n = 10,MIXTURES MODEL,,,,,,,
Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,
OLSE,5,0.002,0,0.469,1,4.51,5.49,1,OLSE,4.334,0.002,-0.666,0.97,1,3.815,4.852,1,LTS,5,0.004,0,2.117,0.3,3.96,6.041,0.985,Theils,3.464,0.004,-1.536,4.535,0.3,2.409,4.52,0.884
LTS,5.002,0.002,0.002,0.661,1.4,4.42,5.584,1,LTS,4.43,0.002,-0.57,0.98,1.01,3.851,5.008,1,Theils,4.285,0.004,-0.715,2.843,0.5,3.192,5.377,0.724,LTS,3.311,0.005,-1.689,6.555,0.4,1.935,4.687,1
Theils,4.998,0.002,-0.002,0.868,1.9,4.332,5.665,0.572,Theils,4.067,0.002,-0.933,1.723,1.777,3.406,4.727,0.916,OLSE,5.004,0.006,0.004,6.159,1,3.229,6.78,0.942,OLSE,1.671,0.006,-3.329,17.243,1,-0.105,3.446,0.998
Bayesian,3.677,0.002,-1.323,2.193,4.7,3.201,4.153,1,Bayesian,2.987,0.002,-2.013,4.555,4.696,2.48,3.495,1,Bayesian,3.681,0.007,-1.319,8.261,1.3,1.855,5.508,0.971,Bayesian,0.23,0.007,-4.77,29.274,1.7,-1.597,2.057,0.999
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
Bayesian,5.178,0.004,0.178,2.085,0.4,4.153,6.203,0.997,Bayesian,5.055,0.004,0.055,1.9,0.434,4.07,6.04,0.997,Theils,6.115,0.005,1.115,5.139,0,4.703,7.527,0.626,Theils,4.611,0.006,-0.389,6.43,0,2.819,6.404,0.943
LTS,6.204,0.003,1.204,2.462,0.5,5.484,6.924,0.999,LTS,6.019,0.002,1.019,1.97,0.45,5.329,6.709,0.999,LTS,-7.00E+06,4.90E+06,-7.00E+06,3.60E+18,0,-1.40E+09,1.40E+09,0.99,LTS,-1.50E+11,1.10E+11,-1.50E+11,1.80E+27,0,-3.00E+13,3.00E+13,0.97
Theils,6.613,0.003,1.613,4.166,0.9,5.718,7.508,0.148,Theils,6.355,0.003,1.355,3.32,0.759,5.483,7.226,0.211,OLSE,-3.10E+14,2.10E+14,-3.10E+14,6.90E+33,1,-6.00E+16,5.90E+16,0.491,OLSE,-6.90E+18,4.70E+18,-6.90E+18,3.30E+42,1,-1.30E+21,1.30E+21,0.099
OLSE,6.65,0.004,1.65,4.899,1,5.595,7.705,0.992,OLSE,6.532,0.004,1.532,4.376,1,5.513,7.551,0.993,Bayesian,-3.20E+14,2.20E+14,-3.20E+14,7.30E+33,1.1,-6.10E+16,6.10E+16,0.48,Bayesian,-7.10E+18,4.90E+18,-7.10E+18,3.50E+42,1.1,-1.40E+21,1.30E+21,0.093
Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,
Theils,5.002,0.006,0.002,5.944,0,3.258,6.746,0.684,Theils,5.002,0.006,0.002,5.944,0,3.258,6.746,0.684,Theils,5.002,0.006,0.002,5.944,0,3.258,6.746,0.684,Theils,5.002,0.006,0.002,5.944,0,3.258,6.746,0.684
LTS,5.024,0.01,0.024,14.72,0,2.28,7.769,0.989,LTS,5.024,0.01,0.024,14.72,0,2.28,7.769,0.989,LTS,5.024,0.01,0.024,14.72,0,2.28,7.769,0.989,LTS,5.024,0.01,0.024,14.72,0,2.28,7.769,0.989
OLSE,6.906,2.5,1.906,9.40E+05,1,-685.767,699.579,0.881,OLSE,6.906,2.5,1.906,9.40E+05,1,-685.767,699.579,0.881,OLSE,6.906,2.5,1.906,9.38E+05,1,-685.767,699.579,0.881,OLSE,6.906,2.5,1.906,9.38E+05,1,-685.767,699.579,0.881
Bayesian,5.516,2.714,0.516,1.10E+06,1.2,-746.32,757.353,0.894,Bayesian,5.516,2.714,0.516,1.10E+06,1.178,-746.32,757.353,0.894,Bayesian,5.516,2.714,0.516,1.10E+06,1.2,-746.32,757.353,0.894,Bayesian,5.516,2.714,0.516,1.10E+06,1.2,-746.32,757.353,0.894
n = 30,STANDARD MODEL,,,,,,,,n = 30,CONTAMINATIONS MODEL,,,,,,,,n = 30,OUTLIERS MODEL,,,,,,,,n = 30,MIXTURES MODEL,,,,,,,
Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,
OLSE,5,0.001,0,0.14,1,4.861,5.14,1,LTS,4.48,0.001,-0.52,0.456,0.901,4.319,4.64,1,LTS,5,0.002,0,0.438,0.3,4.753,5.247,0.996,Theils,3.794,0.003,-1.206,2.403,0.2,3.43,4.157,1
LTS,5,0.001,0,0.192,1.4,4.836,5.163,1,OLSE,4.407,0.001,-0.593,0.506,1,4.26,4.554,1,Theils,4.889,0.003,-0.111,1.067,0.6,4.505,5.273,1,LTS,3.738,0.003,-1.262,2.542,0.2,3.374,4.102,1
Theils,5.001,0.002,0.001,0.559,4,4.722,5.28,1,Theils,4.161,0.002,-0.839,1.252,2.474,3.885,4.438,1,OLSE,5.001,0.003,0.001,1.665,1,4.519,5.483,0.929,OLSE,2.035,0.003,-2.965,10.455,1,1.553,2.517,1
Bayesian,3.853,0.001,-1.147,1.453,10.4,3.714,3.991,1,Bayesian,3.247,0.001,-1.753,3.225,6.373,3.101,3.393,1,Bayesian,3.853,0.003,-1.147,3.039,1.8,3.363,4.344,0.986,Bayesian,0.825,0.003,-4.175,19.151,1.8,0.335,1.316,0.999
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
Bayesian,5.449,0.002,0.449,0.838,0.2,5.151,5.747,0.98,Bayesian,5.342,0.002,0.342,0.71,0.237,5.054,5.629,0.984,Theils,6.506,0.003,1.506,3.577,0,6.079,6.933,0.997,Theils,5.297,0.003,0.297,1.883,0,4.797,5.798,1
