Simulation Results for Regression Slope Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,b,,,,,,,,,b,,,,,,,,,b,,,,,,,,
n = 10,STANDARD MODEL,,,,,,,,n = 10,CONTAMINATIONS MODEL,,,,,,,,n = 10,OUTLIERS MODEL,,,,,,,,n = 10,MIXTURES MODEL,,,,,,,
Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,
OLSE,2,0,0,0.012,1,1.921,2.079,1,Theils,2.169,0,0.169,0.043,0.791,2.083,2.255,1,Theils,2,0.001,0,0.081,0.168,1.796,2.203,1,Theils,2.257,0.001,0.257,0.137,0.096,2.066,2.448,1
Bayesian,1.976,0,-0.024,0.012,1.024,1.898,2.054,1,LTS,2.168,0,0.168,0.044,0.812,2.078,2.259,1,LTS,2,0.001,0,0.163,0.338,1.711,2.289,1,LTS,2.52,0.001,0.52,0.581,0.409,2.121,2.919,1
Theils,2,0,0,0.014,1.137,1.916,2.084,1,Bayesian,2.168,0,0.168,0.045,0.818,2.075,2.26,1,Bayesian,1.975,0.002,-0.025,0.472,0.977,1.484,2.466,1,Bayesian,2.933,0.002,0.933,1.342,0.944,2.442,3.424,1
LTS,2,0,0,0.017,1.418,1.906,2.094,1,OLSE,2.194,0,0.194,0.055,1,2.101,2.287,1,OLSE,1.999,0.002,-0.001,0.483,1,1.502,2.496,1,OLSE,2.969,0.002,0.969,1.421,1,2.472,3.466,1
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
Theils,2,0,0,0.016,0.286,1.909,2.09,1,Theils,2.047,0,0.047,0.016,0.358,1.962,2.131,1,Theils,2.09,0.001,0.09,0.118,0,1.853,2.327,1,Theils,2.364,0.001,0.364,0.35,0,2.03,2.698,1
LTS,2,0,0,0.026,0.464,1.885,2.115,1,LTS,2.051,0,0.051,0.025,0.559,1.943,2.158,1,LTS,2.10E+06,1.50E+06,2.10E+06,3.30E+17,0,-4.10E+08,4.10E+08,1,LTS,4.70E+10,3.30E+10,4.70E+10,1.60E+26,0,-9.00E+12,9.10E+12,1
Bayesian,1.975,0.001,-0.025,0.055,0.987,1.808,2.143,1,Bayesian,2.009,0.001,0.009,0.043,0.953,1.861,2.158,1,Bayesian,8.60E+13,5.80E+13,8.60E+13,5.00E+32,0.976,-1.60E+16,1.60E+16,1,Bayesian,1.90E+18,1.30E+18,1.90E+18,2.40E+41,0.98,-3.50E+20,3.60E+20,1
OLSE,1.999,0.001,-0.001,0.056,1,1.83,2.168,1,OLSE,2.034,0.001,0.034,0.045,1,1.884,2.184,1,OLSE,8.70E+13,5.90E+13,8.70E+13,5.10E+32,1,-1.60E+16,1.60E+16,1,OLSE,1.90E+18,1.30E+18,1.90E+18,2.50E+41,1,-3.60E+20,3.60E+20,1
