Table S4:Empirical Data on GDP (Current) and Population (Total) for the Year 2018 and 2024 (20% contaminated).,
GDP(US$) 2024,POPULATION 2024
22.5675729,12.54898127
30.55954464,21.06612833
31.84314871,21.05750519
-4.408603447,16.17550834
23.71278528,17.11254719
3.564106009,17.70424121
20.3505798,11.10052637
1,15.48116868
26.46946903,16.18525717
27.01483498,16.11553247
26.85883073,18.56775218
19.54516403,11.80946073
1,17.1620949
27.1350841,15.50112976
31.06500832,19.75952763
31.89791744,21.07240178
19.48576552,10.53340203
31.30478693,22.60479009
-4.408603447,18.04322214
28.95010673,20.01523369
22.94611484,11.07654228
26.52235849,16.79941172
26.13043761,16.07331437
21.52004926,14.60458273
3.564106009,16.82086667
0,10.58334684
26.67130083,16.76267241
28.99455849,21.09547456
29.02478749,18.63559349
3.564106009,10.75457821
22.11947152,11.31373035
31.00860863,20.64882588
26.88658064,18.33258957
25.73390113,18.69876517
21.30984993,10.67708505
23.84762618,17.36028194
28.4981216,17.89224607
22.73790882,12.55132055
24.01147171,17.01330966
23.81496249,14.85902443
28.20763448,20.96215903
23.5809136,17.28015077
23.13253108,10.56183623
1,15.03533378
25.03159053,16.13817579
25.55157957,16.71338074
45.10621844,16.06840497
0,10.9479428
23.86416844,16.97458466
22.28756012,15.54056347
28.1317964,20.80186218
45.10621844,17.72783538
23.48534957,12.90242469
27.18160412,17.63752483
23.13893372,14.2819792
3.564106009,16.90272757
0,10.57974287
1,
22.12270768,10.90928987
0,13.58171674
29.59252336,20.31105763
23.70357899,15.74936851
26.68684518,18.57373018
29.44421587,19.94615869
26.83251342,18.97204755
31.77097619,20.84404689
45.10621844,14.1291045
24.28898734,15.66210443
3.564106009,16.76043111
29.25829895,20.5164214
21.99335728,11.95740614
23.21851382,14.81704938
26.38969253,17.34825797
28.43749698,17.53609699
26.76827115,17.38666656
26.25269492,19.26517244
45.10621844,11.55383706
21.60076948,14.83073725
-4.408603447,17.73647277
0,11.34048691
26.35805544,17.64506493
30.60143558,19.9252651
26.28394747,15.48085629
26.87386861,20.25263497
3.564106009,21.24050159
25.25886997,13.42544575
28.26229289,17.76195559
23.89272198,15.07533113
26.90535074,15.53331486
1,12.70009183
23.27003381,14.45341825
27.32449596,20.07272608
28.52710914,19.33809693
23.94248873,16.50707806
0,15.57439605
24.60456468,15.81442294
0,17.09261091
25.8046702,17.4552306
20.52743904,12.36962329
30.4343815,19.67675803
28.40574828,18.78208147
28.41492266,19.17209011
27.8461325,17.37940148
26.06080392,16.37520606
3.564106009,10.17083936
27.96749335,19.46268011
0,10.75291172
24.35118791,14.12173196
24.62457685,13.44009103
-4.408603447,16.01335528
45.10621844,10.74798149
30.7311134,21.47215661
26.11233757,14.8655707
23.76280849,14.74726235
-4.408603447,14.15243912
3.564106009,13.61608231
23.45378234,13.04488172
22.17386057,11.58984947
21.72588624,13.17092113
23.68864526,14.74022174
28.53118247,18.42130019
19.97127079,11.63656686
27.7443498,20.33311928
45.10621844,16.32324711
21.88755094,12.94101655
25.16437727,14.87617138
21.03947598,11.67170541
1,16.87491959
0,10.60784664
25.28082461,15.45059887
25.45065366,16.72820682
25.39609467,15.47972809
27.82164148,16.70552036
21.73540998,15.48899143
21.4967201,11.70647541
23.31645532,14.92411674
28.06280353,20.89534983
24.72843901,16.33428033
1,22.82027822
23.11276649,15.45826641
0,17.56847905
3.564106009,16.29569014
27.77078306,20.66289252
23.38013798,16.47272827
27.54546323,17.41444435
23.92855822,13.63049096
