Table S3: Empirical Data on GDP (Current) and Population (Total) for the Year 2018 and 2024 (Uncontaminated).,,,,
COUNTRY,GDP(US$) 2024,POPULATION 2024,GDP(US$) 2018,POPULATION 2018
Afghanistan,0,42647492,18053222687,36743039
Africa Eastern and Southern,1.24E+12,769280888,1.02E+12,657801085
Africa Western and Central,7.36E+11,521764076,7.78E+11,452195915
Albania,27046429297,2377128,15379508330,2607733
Algeria,2.69E+11,46814308,1.95E+11,42505035
American Samoa,0,46765,639000000,50908
Andorra,4039842405,81938,3218418632,75162
Angola,1.01E+11,37885849,89512794227,31297155
Antigua and Barbuda,2207622874,93772,1661529630,90926
Arab World,3.74E+12,492612632,2.92E+12,435998060
Argentina,6.38E+11,45696159,5.25E+11,44654882
Armenia,25955275380,3033500,12457940695,2969000
Aruba,4265650673,107995,3276187709,108908
Australia,1.76E+12,27196812,1.43E+12,24963258
Austria,5.35E+11,9177982,4.53E+11,8840521
Azerbaijan,74315882353,10202830,47112470052,9939771
"Bahamas, The",15832800000,401283,12819200000,392717
Bahrain,47109734309,1588670,39567978723,1503091
Bangladesh,4.50E+11,173562364,3.21E+11,163523103
Barbados,7498050000,282467,6001950000,280711
Belarus,75961865472,9132629,60031026576,9438785
Belgium,6.71E+11,11858610,5.43E+11,11427054
Belize,3203631800,417072,2285915050,380226
Benin,21482643706,14462724,14262408090,12383347
Bermuda,9233600000,64636,7225977000,63831
Bhutan,0,791524,2583335722,759759
Bolivia,54881327453,12413315,48414038842,11508368
Bosnia and Herzegovina,29613572023,3164253,20484058033,3387000
Botswana,19402063513,2521139,17031943186,2299141
Brazil,2.19E+12,211998573,1.92E+12,206107261
British Virgin Islands,0,39471,0,34657
Brunei Darussalam,15340808592,462721,13566908391,437810
Bulgaria,1.13E+11,6441421,66097226262,6710798
Burkina Faso,23124729853,23548781,15890066221,20438288
Burundi,3082433067,14047786,2913411408,11859446
Cabo Verde,2725414151,524877,2205099507,513415
Cambodia,46352647037,17638801,33145892169,16274522
Cameroon,53296694320,29123744,39955552190,24806383
Canada,2.24E+12,41288599,1.73E+12,37072620
Caribbean small states,90344593407,4539060,61252081220,4407658
Cayman Islands,0,74457,5530178499,65941
Central African Republic,2751494281,5330690,2220979146,4878657
Central Europe and the Baltics,2.46E+12,100061963,1.66E+12,102074201
Chad,19518819751,20299123,15327000249,16156531
Channel Islands,0,168126,10026394044,164949
Chile,3.30E+11,19764771,2.96E+11,18893191
China,1.87E+13,1408975000,1.41E+13,1402760000
Colombia,4.19E+11,52886363,3.34E+11,49024465
Comoros,1440991455,866628,1178530633,771590
"Congo, Dem. Rep.",70962185791,109276265,46659954092,90047644
"Congo, Rep.",15719986077,6332961,14773900289,5483118
Costa Rica,95350423177,5129910,62420164992,4957818
Cote d'Ivoire,87113179149,31934230,58522477787,27464173
Croatia,92983810329,3866200,61667925219,3988775
Cuba,0,10979783,1.00E+11,11227118
Curacao,3561178196,155967,3046364820,159336
Cyprus,37634533332,1358282,25754001368,1270737
Czechia,3.47E+11,10905028,2.52E+11,10629928
Denmark,4.25E+11,5976992,3.55E+11,5793636
Djibouti,4152145940,1168722,2913464658,1071882
Dominica,688881481.5,66205,628244444.4,68174
Dominican Republic,1.24E+11,11427557,84994732049,10782053
Early-demographic dividend,1.58E+13,3552278604,1.15E+13,3314245247
East Asia & Pacific,3.20E+13,2388319494,2.69E+13,2347576325
East Asia & Pacific (excluding high income),2.23E+13,2141122258,1.69E+13,2100698838
East Asia & Pacific (IDA & IBRD countries),2.22E+13,2114653077,1.69E+13,2074796982
Ecuador,1.25E+11,18135478,1.07E+11,17049547
"Egypt, Arab Rep.",3.89E+11,116538258,2.63E+11,105682094
El Salvador,35364960000,6338193,26020850000,6219807
Equatorial Guinea,12765777677,1892516,13097012134,1616422
Eritrea,0,3535603,0,3192760
Estonia,43130419829,1372341,31222632741,1321977
Eswatini,4858885841,1242822,4643751059,1168929
Ethiopia,1.50E+11,132059767,83337901072,112664152
Euro area,1.65E+13,351161936,1.39E+13,345864630
Europe & Central Asia,2.93E+13,928263208,2.33E+13,918689254
Europe & Central Asia (excluding high income),2.45E+12,250281521,1.48E+12,246400484
Europe & Central Asia (IDA & IBRD countries),6.13E+12,459734030,4.10E+12,459946883
European Union,1.95E+13,450228188,1.61E+13,446329890
Faroe Islands,4052937170,54681,3188600927,50996
Fiji,5968125909,928784,5581425327,917180
Finland,2.99E+11,5619911,2.74E+11,5515525
Fragile and conflict affected situations,1.65E+12,1081767572,1.56E+12,951851595
France,3.16E+12,68551653,2.78E+12,67158348
French Polynesia,6323716355,281807,6135116253,279815
Gabon,20895684426,2538952,16867326402,2212318
"Gambia, The",2404888749,2759988,1670671328,2399632
Georgia,34189423545,3699557,17902544881,3726549
Germany,4.69E+12,83516593,4.06E+12,82905782
Ghana,82308110386,34427414,67259353966,30637585
Gibraltar,0,39329,0,34854
Greece,2.56E+11,10405134,2.13E+11,10732882
Greenland,0,56836,3055782146,56023
Grenada,1371918519,117207,1166514815,115691
Guam,0,167777,6051000000,162679
Guatemala,1.13E+11,18406359,73328356008,16845685
Guinea,25008678293,14754785,11857030367,12704774
Guinea-Bissau,2218393805,2201352,1554133594,1922168
Guyana,24662709832,831087,4787636998,791556
Haiti,25224154991,11772557,16403864618,10962362
Heavily indebted poor countries (HIPC),1.15E+12,941413026,7.90E+11,802020674
High income,7.13E+13,1417841927,5.69E+13,1385103279
Honduras,37093565854,10825703,24067750760,9765210
"Hong Kong SAR, China",4.07E+11,7524100,3.62E+11,7452600
Hungary,2.23E+11,9562065,1.61E+11,9706964
IBRD only,4.09E+13,4979421568,3.07E+13,4806981820
Iceland,33255181469,386506,26677652544,352721
IDA & IBRD total,4.38E+13,6926222113,3.31E+13,6518058354
IDA blend,1.12E+12,676957651,1.13E+12,601951913
IDA only,1.78E+12,1269842894,1.29E+12,1109124621
IDA total,2.89E+12,1946800545,2.41E+12,1711076534
India,3.91E+12,1450935791,2.70E+12,1374659064
Indonesia,1.40E+12,283487931,1.04E+12,269951846
"Iran, Islamic Rep.",4.75E+11,91567738,4.12E+11,86117998
Iraq,2.80E+11,46042015,2.27E+11,40265624
Ireland,6.09E+11,5395790,3.96E+11,4898022
Isle of Man,0,84160,7491649456,83805
Israel,5.40E+11,9974400,3.76E+11,8882800
Italy,2.38E+12,58952704,2.10E+12,60148658
Jamaica,22014397090,2839175,16855447986,2820097
Japan,4.03E+12,123975371,5.04E+12,126811000
Jordan,53352289577,11552876,43370860704,10462306
Kazakhstan,2.91E+11,20592571,1.79E+11,18932727
Kenya,1.20E+11,56432944,92202979985,50207107
Kiribati,307862564.5,134518,233514717.4,122084
"Korea, Dem. People's Rep.",0,26498823,0,25931147
"Korea, Rep.",1.88E+12,51751065,1.82E+12,51585058
Kosovo,11197246323,1594353,7878762812,1797086
Kuwait,1.60E+11,4897263,1.39E+11,4323515
Kyrgyz Republic,17478259659,7221868,8271106235,6444079
Lao PDR,16502933121,7769819,18141641090,7128045
Late-demographic dividend,3.00E+13,2328628339,2.29E+13,2298394042
Latin America & Caribbean,7.11E+12,662186388,5.58E+12,635778081
Latin America & Caribbean (excluding high income),6.17E+12,594158638,4.82E+12,567711159
Latin America & the Caribbean (IDA & IBRD countries),6.78E+12,647003746,5.35E+12,620274430
Latvia,43684254432,1866124,33247935477,1927174
Least developed countries: UN classification,1.54E+12,1187777591,1.12E+12,1033110314
Lebanon,0,5805962,54901519156,5984119
Lesotho,2271759455,2337423,2556247292,2183603
Liberia,4779300900,5612817,3422754800,4944726
Libya,48487151215,7381023,76686029772,6849055
Liechtenstein,0,40450,6692620692,38246
Lithuania,84869215513,2888278,54261795149,2819200
Low & middle income,3.94E+13,6563501708,2.99E+13,6169658713
Low income,4.69E+11,624608098,3.42E+11,529522043
Lower middle income,7.94E+12,3120980912,6.02E+12,2888561818
Luxembourg,93279851863,677012,71085623495,607950
"Macao SAR, China",49467258923,687000,55076322634,658900
Madagascar,17420501490,31964956,13760033282,27494926
Malawi,11316411329,21655286,9879220354,18528081
Malaysia,4.22E+11,35557673,3.59E+11,32910967
Maldives,7061608267,527799,5404344163,473099
Mali,26794747240,24478595,20368015381,20442030
Malta,24971574502,568847,16153779511,483903
Marshall Islands,290108490,37548,220000000,45285
Mauritania,10908045687,5169395,7473550557,4337685
Mauritius,14937861786,1245779,14957535716,1265577
Mexico,1.86E+12,130861007,1.26E+12,124573711
"Micronesia, Fed. Sts.",471425099.5,113160,392000000,109909
"Middle East, North Africa, Afghanistan & Pakistan",5.09E+12,813146136,4.05E+12,730362334
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2.20E+12,741690916,1.88E+12,668447432
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2.19E+12,736401764,1.86E+12,663878345
Middle income,3.89E+13,5938893610,2.96E+13,5640136670
Moldova,18200340854,2402306,11252353421,2707203
Monaco,11125783372,38631,7184333936,38154
Mongolia,23794540025,3524788,13178094720,3208189
Montenegro,8270016671,623525,5433467175,626438
Morocco,1.61E+11,38081173,1.27E+11,35839760
Mozambique,22745341305,34631766,15017358953,29018644
Myanmar,74068349524,54500091,67860515993,52272247
Namibia,13372354512,3030131,13682019076,2577327
Nauru,162588620.6,11947,130995566.3,11477
Nepal,42914268287,29651054,33111525237,28079689
Netherlands,1.21E+12,17993485,9.30E+11,17231624
New Caledonia,8548919387,292639,9896402284,283541
New Zealand,2.60E+11,5287500,2.12E+11,4900600
Nicaragua,19693982968,6916140,13025221974,6400080
Niger,19876128486,27032412,12837307497,22188069
Nigeria,2.52E+11,232679478,4.22E+11,204938755
